source,osm_route_relation_id,source_native_sha256,source_reduced_sha256,name,route_source_tags_json,stop_members,identified_stop_members,way_members,missing_or_nonrail_members_json,unsupported_members_json,geometry_status,orientation_count,first_disconnected_way_index,segment_traversals,length_geodesic_m,stop_status_counts_json,direction_status_counts_json,coherent_stop_geometry,schedule_export_eligible
derived_native_mapped_route_evidence,8130328,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Harbour Line: Mumbai CSMT → Panvel,"{""check_date"":""2024-09-21"",""colour"":""#303888"",""from"":""Mumbai CSMT"",""interval"":""15"",""name"":""Harbour Line: Mumbai CSMT → Panvel"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""opening_hours"":""04:00-01:00"",""operator"":""Central Railway"",""passenger"":""suburban"",""public_transport:version"":""2"",""ref"":""H"",""route"":""train"",""service"":""commuter"",""start_date"":""1910-12-12"",""to"":""Panvel"",""type"":""route"",""wikidata"":""Q5654835"",""wikipedia"":""en:Harbour line (Mumbai Suburban Railway)""}",25,25,76,[],[],unique_ordered_way_chain,1,,618,48964.07402707948,"{""out_of_order"":1,""present_in_order"":24}","{""explicit_oneway"":473,""missing_direction_unresolved"":106,""nonstatic_or_unknown_direction_unresolved"":39}",False,False
derived_native_mapped_route_evidence,8414240,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Trans-Harbour Line (Thane => Vashi),"{""colour"":""#4B0082"",""electrified"":""contact_line"",""frequency"":""50"",""from"":""Thane"",""name"":""Trans-Harbour Line (Thane => Vashi)"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""operator"":""Central Railways"",""passenger"":""suburban"",""passenger_lines"":""2"",""public_transport:version"":""2"",""ref"":""T"",""route"":""train"",""start_date"":""2004-11-09"",""to"":""Vashi"",""type"":""route"",""usage"":""main"",""voltage"":""25000"",""wikidata"":""Q7833528"",""wikipedia"":""en:Trans-Harbour line (Mumbai Suburban Railway)""}",9,9,29,[],[],unique_ordered_way_chain,1,,233,18960.94823122975,"{""present_in_order"":9}","{""missing_direction_unresolved"":233}",True,False
derived_native_mapped_route_evidence,8418422,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Nerul–Uran line (Uran->Nerul),"{""alt_name"":""Port Line"",""colour"":""#F0D808"",""electrified"":""contact_line"",""frequency"":""50"",""from"":""Seawoods"",""name"":""Nerul–Uran line (Uran->Nerul)"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""operator"":""Central Railways"",""passenger"":""suburban"",""passenger_lines"":""2"",""public_transport:version"":""2"",""ref"":""U"",""route"":""train"",""service"":""commuter"",""start_date"":""2018-11-11"",""to"":""Nerul"",""type"":""route"",""usage"":""main"",""voltage"":""25000"",""wikidata"":""Q28153731"",""wikipedia"":""en:Nerul–Uran line (Mumbai Suburban Railway)""}",8,2,30,[],[],unique_ordered_way_chain,1,,214,24246.92802541155,"{""present_in_order"":8}","{""explicit_oneway"":107,""missing_direction_unresolved"":104,""nonstatic_or_unknown_direction_unresolved"":3}",True,False
derived_native_mapped_route_evidence,9622461,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Harbour Line: Panvel → Mumbai CSMT,"{""check_date"":""2024-09-21"",""colour"":""#303888"",""from"":""Panvel"",""interval"":""15"",""name"":""Harbour Line: Panvel → Mumbai CSMT"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""opening_hours"":""04:00-00:17"",""operator"":""Central Railway"",""passenger"":""suburban"",""public_transport:version"":""2"",""ref"":""H"",""route"":""train"",""service"":""commuter"",""start_date"":""1910-12-12"",""to"":""Mumbai CSMT"",""type"":""route"",""wikidata"":""Q5654835"",""wikipedia"":""en:Harbour line (Mumbai Suburban Railway)""}",25,25,68,[],[],unique_ordered_way_chain,1,,620,48971.03743821936,"{""present_in_order"":25}","{""explicit_oneway"":505,""missing_direction_unresolved"":102,""nonstatic_or_unknown_direction_unresolved"":13}",True,False
derived_native_mapped_route_evidence,9623798,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Harbour Line: Mumbai CSMT → Goregaon,"{""check_date"":""2024-09-21"",""colour"":""#303888"",""from"":""Mumbai CSMT"",""interval"":""15"",""name"":""Harbour Line: Mumbai CSMT → Goregaon"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""opening_hours"":""04:00-01:00"",""operator"":""Central Railway"",""public_transport:version"":""2"",""ref"":""H"",""route"":""train"",""start_date"":""1910-12-12"",""to"":""Goregaon"",""type"":""route"",""wikidata"":""Q5654835"",""wikipedia"":""en:Harbour line (Mumbai Suburban Railway)""}",18,18,43,[],[],unique_ordered_way_chain,1,,346,26765.098174428487,"{""present_in_order"":18}","{""explicit_oneway"":90,""missing_direction_unresolved"":256}",True,False
derived_native_mapped_route_evidence,9953729,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Central Line: Kalyan Junction → Mumbai CSMT (Fast),"{""colour"":""#FF0000"",""from"":""Kalyan Junction"",""interval"":""15"",""name"":""Central Line: Kalyan Junction → Mumbai CSMT (Fast)"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""opening_hours"":""Mo-Su 04:00-01:00"",""operator"":""Central Railway"",""passenger"":""suburban"",""public_transport:version"":""2"",""ref"":""C"",""route"":""train"",""to"":""Mumbai CSMT"",""type"":""route"",""wikidata"":""Q5061366"",""wikipedia"":""en:Central line (Mumbai Suburban Railway)""}",8,3,46,[],[],unique_ordered_way_chain,1,,406,51359.49716798559,"{""present_in_order"":8}","{""explicit_oneway"":187,""missing_direction_unresolved"":219}",True,False
derived_native_mapped_route_evidence,9953730,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Central Line: Mumbai CSMT → Kalyan Junction (Fast),"{""colour"":""#FF0000"",""from"":""Mumbai CSMT"",""interval"":""15"",""name"":""Central Line: Mumbai CSMT → Kalyan Junction (Fast)"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""opening_hours"":""Mo-Su 04:00-01:00"",""operator"":""Central Railway"",""passenger"":""suburban"",""public_transport:version"":""2"",""ref"":""C"",""route"":""train"",""to"":""Kalyan Junction"",""type"":""route"",""wikidata"":""Q5061366"",""wikipedia"":""en:Central line (Mumbai Suburban Railway)""}",8,3,42,[],[],unique_ordered_way_chain,1,,406,51367.504479303236,"{""present_in_order"":8}","{""explicit_oneway"":182,""missing_direction_unresolved"":224}",True,False
derived_native_mapped_route_evidence,11093105,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Harbour Line: Goregaon → Mumbai CSMT,"{""check_date"":""2024-09-21"",""colour"":""#303888"",""from"":""Goregaon"",""interval"":""15"",""name"":""Harbour Line: Goregaon → Mumbai CSMT"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""opening_hours"":""04:00-01:00"",""operator"":""Central Railway"",""passenger"":""suburban"",""public_transport:version"":""2"",""ref"":""H"",""route"":""train"",""start_date"":""1910-12-12"",""to"":""Mumbai CSMT"",""type"":""route"",""wikidata"":""Q5654835"",""wikipedia"":""en:Harbour line (Mumbai Suburban Railway)""}",18,18,47,[],[],unique_ordered_way_chain,1,,334,26796.503819537047,"{""present_in_order"":18}","{""explicit_oneway"":78,""missing_direction_unresolved"":256}",True,False
derived_native_mapped_route_evidence,11094508,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Western Line (fast): Virar => Churchgate,"{""colour"":""#EBCF1F"",""duration"":""01:25"",""from"":""Virar"",""from:ur"":""ویرار"",""interval"":""15"",""name"":""Western Line (fast): Virar => Churchgate"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""network:wikipedia"":""en:Mumbai Suburban Railway"",""opening_hours"":""4:00-1:00"",""operator"":""Western Railways"",""passenger"":""suburban"",""public_transport:version"":""2"",""ref"":""W"",""route"":""train"",""service"":""commuter"",""to"":""Churchgate"",""type"":""route"",""wikidata"":""Q7988022"",""wikipedia"":""en:Western line (Mumbai Suburban Railway)""}",16,3,62,[],[],unique_ordered_way_chain,1,,469,60019.4795379902,"{""present_in_order"":16}","{""missing_direction_unresolved"":469}",True,False
derived_native_mapped_route_evidence,11094509,88f47570e3d22cbbf1b02a36ff24dca301a688ed2cfa5148982af7d877d36349,a7865ea1b59589c9202dd59711f57658ea02bfa6ca75bab373e4687ed3d91cf5,Western Line (fast): Churchgate => Virar,"{""colour"":""#EBCF1F"",""duration"":""01:25"",""from"":""Churchgate"",""interval"":""15"",""name"":""Western Line (fast): Churchgate => Virar"",""network"":""Mumbai Suburban Railway"",""network:wikidata"":""Q3273422"",""network:wikipedia"":""en:Mumbai Suburban Railway"",""opening_hours"":""4:00-1:00"",""operator"":""Western Railways"",""passenger"":""suburban"",""public_transport:version"":""2"",""ref"":""W"",""route"":""train"",""service"":""commuter"",""to"":""Virar"",""type"":""route"",""wikidata"":""Q7988022"",""wikipedia"":""en:Western line (Mumbai Suburban Railway)""}",16,3,54,[],[],unique_ordered_way_chain,1,,440,60013.945062872466,"{""present_in_order"":16}","{""missing_direction_unresolved"":440}",True,False
